production_note_code,style_code,artisan_note,production_instruction
PRD001,HB001,Polish surface until mirror-bright before attaching chain.,Cut sterling silver sheet cut shape solder crescent apply polished finish attach 45cm cable chain
PRD002,HB002,Ensure gold plating thickness minimum 2.5 microns.,Form wave silhouette from silver base electroplate with 18k gold verify uniform coverage size to standard
PRD003,HB003,Oxidize evenly using liver of sulfur solution.,Cut brass sheet stamp leaf motifs apply liver of sulfur oxidation buff highlights attach toggle clasp
PRD004,HB004,Set moonstone with bezel not prong to protect stone.,Fabricate silver bezel cup set moonstone cabochon solder bail polish setting inspect adularescence under light
PRD005,HB005,Hammer on steel bench block for consistent texture.,Cut bronze sheet form drop shape hammer surface for texture add ear wire connector polish edges lightly
PRD006,HB006,Solder sun charms before final polish to avoid damage.,Form sterling silver chain attach handmade sun charms at even intervals solder all joints polish to bright finish
PRD007,HB007,Hand-set each petal individually before final solder.,Fabricate gold vermeil petal components assemble bloom shape solder base plate add pin back mechanism polish
PRD008,HB008,All three pieces must share identical brushed finish tone.,Fabricate necklace earrings and bracelet separately apply uniform brushed finish verify set coherence before packing
PRD009,HB009,Seal turquoise with jeweler resin to prevent surface absorption.,Set turquoise cabochon in brass frame apply matte finish solder pendant bail attach jump ring inspect stone seal
PRD010,HB010,Verify all links are evenly soldered before plating.,Form geometric bar links solder chain segments electroplate with 18k gold inspect coverage add lobster clasp
PRD011,HB011,Polish onyx stone separately before setting into bezel.,Fabricate sterling silver bezel size to oval onyx set stone solder ring shank polish metal surfaces inspect fit
PRD012,HB012,Inspect each garnet for inclusions before setting.,Form sterling silver bracelet frame hand-set garnet stones in individual bezels solder all joints polish finish
PRD013,HB013,Handle labradorite gently to preserve spectral surface.,Cut labradorite cabochons wrap in brushed silver bezel attach ear wire verify labradorescence under directional light
PRD014,HB014,Faceted amethyst must be inspected for clarity grade B minimum.,Set faceted amethyst in four-prong sterling silver setting solder pendant bail polish metal apply rhodium flash
PRD015,HB015,Knot silk thread between each pearl using jeweler knot tool.,Hand-knot freshwater pearls on silk thread space evenly attach sterling silver lobster clasp and extender chain
PRD016,HB016,Confirm quartz dome is fully smooth before setting.,Set clear quartz cabochon in sterling silver bezel solder ring shank polish all surfaces verify stone clarity
PRD017,HB017,Use rawhide mallet only to avoid surface tool marks.,Cut wide brass strip anneal form cuff shape hammer full surface etch geometric pattern polish edges lightly
PRD018,HB018,Secure moonstone beads with double-knotted wire wrap.,Form gold vermeil anklet chain thread moonstone bead accents at intervals secure with wrapped wire solder clasp
PRD019,HB019,Apply oxidation after moonstone is fully set and secure.,Fabricate silver crescent form set moonstone center apply liver of sulfur oxidation selectively buff raised areas
PRD020,HB020,Inspect all three pieces match before packaging as set.,Fabricate star motif earrings necklace and ring in gold vermeil verify finish consistency assemble as complete set
