material_code,material_name,description
MAT001,Sterling Silver,High-quality 925 sterling silver alloy known for brilliance and durability
MAT002,Gold Vermeil,Sterling silver base electroplated with thick 18k gold for lasting luxury
MAT003,Brass,Warm-toned copper-zinc alloy favored for its workability and vintage appeal
MAT004,Bronze,Classic copper-tin alloy offering rich earthy tones and artisan character
MAT005,Pearl,Lustrous organic gemstone harvested and hand-selected for surface quality and roundness
MAT006,Moonstone,Ethereal feldspar gemstone prized for its adularescent blue-white glow
MAT007,Quartz,Versatile crystalline mineral available in clear and varied natural color forms
MAT008,Labradorite,Iridescent feldspar gemstone celebrated for its vivid spectral labradorescence
MAT009,Turquoise,Opaque blue-green mineral long treasured in artisan and tribal jewelry traditions
MAT010,Garnet,Deep red silicate gemstone symbolizing passion energy and timeless elegance
MAT011,Amethyst,Violet quartz gemstone associated with calm clarity and spiritual balance
MAT012,Onyx,Smooth black chalcedony gemstone valued for its bold contrast and grounding energy
